"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест API создание нового пользователя. Ожидаемый результат - пользователь создан","1844","Регистрация нового пользователя","","Thu Nov 28 13:30:48 GET 2024","passed","Thu Nov 28 13:30:49 GET 2024","","praktikum.tests.user.RegisterUserTests","praktikum.tests.user.RegisterUserTests","registerUserIsSuccess"
"Тест API регистрация пользователя без email. Ожидаемый результат - пользователя без email создать нельзя","409","Регистрация пользователя без email","","Thu Nov 28 13:30:50 GET 2024","passed","Thu Nov 28 13:30:50 GET 2024","","praktikum.tests.user.RegisterUserTests","praktikum.tests.user.RegisterUserTests","registerUserWithoutEmailIsFailed"
"Тест API на создание заказа без авторизации, без добавления ингредиентов. Ожидаемый результат - заказ не создан, получено сообщение об ошибке.","960","Создание заказа без авторизации и без ингредиентов","","Thu Nov 28 13:30:14 GET 2024","passed","Thu Nov 28 13:30:15 GET 2024","","praktikum.tests.order.OrderCreationTest","praktikum.tests.order.OrderCreationTest","createOrderWithoutAuthAndWithoutIngredients"
"Тест API создание двух пользователей с одинаковыми данными. Ожидаемый результат - одинаковых пользователей создать нельзя.","2561","Регистрация двух пользователей с одинаковыми данными","","Thu Nov 28 13:30:45 GET 2024","passed","Thu Nov 28 13:30:48 GET 2024","","praktikum.tests.user.RegisterUserTests","praktikum.tests.user.RegisterUserTests","registerSameUserIsFailed"
"Тест API редактирование имени неавторизованного пользователя. Ожидаемый результат - имя не изменено, получено сообщение об ошибке","1750","Изменение имени пользователя: без авторизации","","Thu Nov 28 13:30:22 GET 2024","passed","Thu Nov 28 13:30:24 GET 2024","","Тест # 3 - Редактирование данных пользователя","praktikum.tests.user.ChangeUserDataTests","changeUserNameWithoutAuthIsSuccess"
"Тест API редактирование пароля неавторизованного пользователя. Ожидаемый результат - пароль не изменен, получено сообщение об ошибке","1275","Изменение пароля пользователя: без авторизации","","Thu Nov 28 13:30:16 GET 2024","passed","Thu Nov 28 13:30:17 GET 2024","","Тест # 3 - Редактирование данных пользователя","praktikum.tests.user.ChangeUserDataTests","changeUserPasswordWithoutAuthIsSuccess"
"Тест API на создание заказа с авторизацией, используя случайные ингредиенты из списка. Ожидаемый результат - заказ успешно создан.","2736","Создание заказа с авторизацией и случайными ингредиентами","","Thu Nov 28 13:30:11 GET 2024","passed","Thu Nov 28 13:30:14 GET 2024","","praktikum.tests.order.OrderCreationTest","praktikum.tests.order.OrderCreationTest","createOrderWithAuthAndRandomIngredients"
"Тест API логин пользователя без email. Ожидаемый результат - пользователь не залогинен","5045","Логин пользователя без email","","Thu Nov 28 13:30:32 GET 2024","passed","Thu Nov 28 13:30:37 GET 2024","","Тест # 2 - Логин пользователя","praktikum.tests.user.LoginUserTests","loginUserWithoutEmailIsFailed"
"Тест API на получение списка заказов. Ожидаемый результат - список заказов получен.","8460","Получение всех заказов","","Thu Nov 28 13:29:49 GET 2024","passed","Thu Nov 28 13:29:58 GET 2024","","Тест # 5 - Получение списка заказов","praktikum.tests.order.GetOrdersListTests","getAllOrdersIsSuccess"
"Тест API на создание заказа с авторизацией, с неверным хешем ингредиентов. Ожидаемый результат - заказ не создан, получено сообщение об ошибке.","1914","Создание заказа с авторизацией и с неверным хешем ингредиентов","","Thu Nov 28 13:30:07 GET 2024","passed","Thu Nov 28 13:30:09 GET 2024","","praktikum.tests.order.OrderCreationTest","praktikum.tests.order.OrderCreationTest","createOrderWithoutAuthAndWithWrongHash"
"Тест API на создание заказа без авторизации, с неверным хешем ингредиентов. Ожидаемый результат - заказ не создан, получено сообщение об ошибке.","850","Создание заказа без авторизации и с неверным хешем ингредиентов","","Thu Nov 28 13:30:10 GET 2024","passed","Thu Nov 28 13:30:11 GET 2024","","praktikum.tests.order.OrderCreationTest","praktikum.tests.order.OrderCreationTest","createOrderWithAuthAndWithWrongHash"
"Тест API на получение списка заказов неавторизованного пользователя. Ожидаемый результат - список заказов не получен, получено сообщение об ошибке.","4176","Получение списка заказов неавторизованного пользователя","","Thu Nov 28 13:30:03 GET 2024","passed","Thu Nov 28 13:30:07 GET 2024","","Тест # 5 - Получение списка заказов","praktikum.tests.order.GetOrdersListTests","getNotAuthUsersOrdersIsSuccess"
"Тест API логин пользователя с некорректным паролем. Ожидаемый результат - пользователь не залогинен","4001","Логин пользователя c некорректным паролем","","Thu Nov 28 13:30:41 GET 2024","passed","Thu Nov 28 13:30:45 GET 2024","","Тест # 2 - Логин пользователя","praktikum.tests.user.LoginUserTests","loginUserWithIncorrectPasswordIsFailed"
"Тест API на создание заказа с авторизацией, используя случайные ингредиенты из списка. Ожидаемый результат - заказ успешно создан.","1080","Создание заказа без авторизации и случайными ингредиентами","","Thu Nov 28 13:30:09 GET 2024","passed","Thu Nov 28 13:30:10 GET 2024","","praktikum.tests.order.OrderCreationTest","praktikum.tests.order.OrderCreationTest","createOrderWithoutAuthAndRandomIngredients"
"Тест API на создание заказа с авторизацией, без добавления ингредиентов. Ожидаемый результат - заказ не создан, получено сообщение об ошибке.","1145","Создание заказа с авторизацией и без ингредиентов","","Thu Nov 28 13:30:15 GET 2024","passed","Thu Nov 28 13:30:16 GET 2024","","praktikum.tests.order.OrderCreationTest","praktikum.tests.order.OrderCreationTest","createOrderWithAuthAndWithoutIngredients"
"Проверка API для получения заказов авторизованным пользователем. Ожидаемый результат — список заказов успешно получен.","5263","API тест на получение списка заказов для авторизованного пользователя","","Thu Nov 28 13:29:58 GET 2024","passed","Thu Nov 28 13:30:03 GET 2024","","Тест # 5 - Получение списка заказов","praktikum.tests.order.GetOrdersListTests","getAuthUsersOrdersIsSuccess"
"Тест API логин пользователя. Ожидаемый результат - пользователь залогинен","3286","Логин пользователя","","Thu Nov 28 13:30:28 GET 2024","passed","Thu Nov 28 13:30:32 GET 2024","","Тест # 2 - Логин пользователя","praktikum.tests.user.LoginUserTests","loginUserIsSuccess"
"Тест API редактирование email неавторизованного пользователя. Ожидаемый результат - email не изменен, получено сообщение об ошибке","1844","Изменение email пользователя: без авторизации","","Thu Nov 28 13:30:20 GET 2024","passed","Thu Nov 28 13:30:22 GET 2024","","Тест # 3 - Редактирование данных пользователя","praktikum.tests.user.ChangeUserDataTests","changeUserEmailWithoutAuthIsSuccess"
"Тест API редактирование имени авторизованного пользователя. Ожидаемый результат - имя изменено","1650","Изменение имени пользователя: с авторизацией","","Thu Nov 28 13:30:24 GET 2024","failed","Thu Nov 28 13:30:26 GET 2024","","Тест # 3 - Редактирование данных пользователя","praktikum.tests.user.ChangeUserDataTests","changeUserNameWithAuthIsSuccess"
"Тест API регистрация пользователя без пароля. Ожидаемый результат - пользователя без пароля создать нельзя","1129","Регистрация пользователя без пароля","","Thu Nov 28 13:30:51 GET 2024","passed","Thu Nov 28 13:30:52 GET 2024","","praktikum.tests.user.RegisterUserTests","praktikum.tests.user.RegisterUserTests","registerUserWithoutPasswordIsFailed"
"Тест API регистрация пользователя без данных. Ожидаемый результат - пользователя без данных создать нельзя","610","Регистрация пользователя без данных","","Thu Nov 28 13:30:50 GET 2024","passed","Thu Nov 28 13:30:51 GET 2024","","praktikum.tests.user.RegisterUserTests","praktikum.tests.user.RegisterUserTests","registerUserWithoutDataIsFailed"
"Тест API логин пользователя с некорректным email. Ожидаемый результат - пользователь не залогинен","2753","Логин пользователя c некорректным email","","Thu Nov 28 13:30:26 GET 2024","passed","Thu Nov 28 13:30:28 GET 2024","","Тест # 2 - Логин пользователя","praktikum.tests.user.LoginUserTests","loginUserWithIncorrectEmailIsFailed"
"Тест API регистрация пользователя без имени. Ожидаемый результат - пользователя без имени создать нельзя","615","Регистрация пользователя без имени","","Thu Nov 28 13:30:49 GET 2024","passed","Thu Nov 28 13:30:50 GET 2024","","praktikum.tests.user.RegisterUserTests","praktikum.tests.user.RegisterUserTests","registerUserWithoutNameIsFailed"
"Тест API редактирование email авторизованного пользователя. Ожидаемый результат - email изменен","1240","Изменение email пользователя: с авторизацией","","Thu Nov 28 13:30:17 GET 2024","failed","Thu Nov 28 13:30:19 GET 2024","","Тест # 3 - Редактирование данных пользователя","praktikum.tests.user.ChangeUserDataTests","changeUserEmailWithAuthIsSuccess"
"Тест API логин пользователя без пароля. Ожидаемый результат - пользователь не залогинен","4272","Логин пользователя без пароля","","Thu Nov 28 13:30:37 GET 2024","passed","Thu Nov 28 13:30:41 GET 2024","","Тест # 2 - Логин пользователя","praktikum.tests.user.LoginUserTests","loginUserWithoutPasswordIsFailed"
"Тест API редактирование пароля авторизованного пользователя. Ожидаемый результат - пароль изменен","1737","Изменение пароля пользователя: с авторизацией","","Thu Nov 28 13:30:19 GET 2024","failed","Thu Nov 28 13:30:20 GET 2024","","Тест # 3 - Редактирование данных пользователя","praktikum.tests.user.ChangeUserDataTests","changeUserPasswordWithAuthIsSuccess"
